Ticker,FloatShares
OBIO,41962068
DOUG,70389433
GALT,43937102
XPOF,26149827
BLIN,8777820
NCRA,5972873
GAUZ,10422589
COOT,5044913
AISP,21219173
BHST,13476670
PAL,21369172
ZCMD,3485754
CPSH,11289098
BKYI,4518894
IPHA,59218340
AIRJ,19657433
TRDA,22412094
INNV,20046055
IRIX,11983632
KORE,4663957
MASS,26420470
WEST,33745243
IHRT,115331935
SOND,10126371
YIBO,3472076
CURI,30604781
DSP,14831542
GURE,9310401
REE,21031360
BOLT,1328941
KLXE,14527554
BEAT,25185290
BOOM,17059530
BMHL,3352582
HONDW,
GCTS,39475636
DBVT,27298458
CBAT,70534222
CSBR,5196197
ADUR,17671874
STRO,78316694
FMFC,8740080
PMVP,44727234
AAME,3832735
BIOX,36397160
KLTR,80156011
BDTX,43339093
NGNE,12059627
GRWG,54295476
VTGN,27727072
SXTC,116028000
ADVM,13845270
HNRG,28533697
HPK,18570457
TPST,4220256
NISN,3080861
MDIA,48264300
DXR,2065759
BAER,33741851
LBGJ,3084005
COOK,57366041
FOSL,46909097
RAIL,23599149
SI,17747317
VTSI,10529111
PDSB,44868932
TLX,275426378
COEP,3018114
VEEE,1910839
ZNTL,57219249
DXLG,48375218
PMEC,6814313
XBIO,1254282
DXST,1220310
CMCM,601458
ARBB,1281666
SAVA,41976521
KPLT,2926760
HBB,7476886
ELIL,0
DARE,8709564
HOTH,12705463
YSG,90330325
SWAG,8958568
GNSS,35028783
MCHX,36141713
SPRO,37765498
ACTU,6164577
DUOT,13027519
TBI,28565854
IDAI,2013356
OPRX,16739187
ATXS,45287539
KALA,5705346
BAOS,903256
LOT,673415937
RAVE,8124885
GLTO,1144660
LYRA,1644450
COYA,15530926
DOMO,32007398
QIPT,35844341
BMGL,5231363
NIU,90036457
CNEY,3010000
AEYE,7744067
CVRX,15535077
EVGN,8577983
SRI,27090379
JSPR,13618298
GRCE,10103908
DCGO,84915623
CLIR,40813612
LPTH,39138210
ESOA,11600186
WKEY,1409352
BBLG,1794507
PIII,1835304
CNCK,10998100
SHMD,14224941
PRTS,54724487
PUBM,47764165
ERAS,160904148
SDHC,8160206
BZFD,20640818
RXT,70892265
PBYI,37729669
SJ,14896923
KOSS,5281360
ALZN,2805340
NEUP,1791534
NTRP,4434482
ACRV,22310073
OKUR,8028242
QMCO,6056297
MDBH,8900465
DERM,12808299
FLD,8727004
NSPR,26270815
PACK,76891464
LGO,63906610
ZURA,40981013
TOMZ,11691374
KPRX,3183164
CMMB,991339
CAPT,29428740
HOWL,33916650
ORKA,30688039
PERF,35297093
POAI,10732304
BARK,102546544
PETS,14213179
HFFG,38296563
CNTY,25599685
RRGB,14958999
FRSX,18125444
EDUC,6308566
MIND,7801384
FAT,5215891
KRNT,45322785
ALTI,55834535
BFRG,7289423
IMTX,95213396
SBC,2460526
CNTX,58821017
MX,30418359
AEBI,2559671
SKLZ,11269402
GETY,112812829
MIRA,14334137
KLRS,4309224
POLA,1700579
NKTX,53122632
JFIN,49412026
CMRC,54364581
MYPS,87483885
ALMS,66798342
VANI,29933395
ATPC,18397236
FLL,33111176
STKS,24525221
GHG,10172754
TCRX,46097803
CERO,1138719
CRBP,10712012
WETH,11889536
ENSC,2546450
PRQR,71504859
LSH,2519160
FTK,13699013
TMCI,45259419
NNAVW,62350971
AURA,41552480
BBAR,204005675
PYXS,44144632
EWCZ,36751765
SCYX,39775242
SONM,14003406
PRSO,4449427
ASYS,11148859
KNDI,71484641
SPIR,23676374
NRIX,74935778
WDH,35448626
BBNX,32777124
MGTX,54158785
PHAR,67071193
BHAT,7204834
DH,38500448
PSHG,10199861
AZ,31456745
NAUT,59897114
AFCG,16947261
UNCY,10995756
SUNE,3406235
LVTX,13023859
ELVA,26503521
CLNN,5540484
DBI,39746135
EFOI,3222092
DTIL,9473176
MNTK,46298251
VRA,18293527
DSGN,31108526
AYTU,5397481
NRDY,34299746
SFWL,19843853
