Ticker,FloatShares
BDTX,39236378.0
PACK,72256230.0
MIND,7801187.0
FIP,94603218.0
ONCY,98790466.0
DFSC,1067504.0
IOVA,303584563.0
XFOR,6497287.0
LUCY,2214569.0
CANG,86042379.0
OEC,54458477.0
ADCT,96490731.0
NMRA,65287813.0
ENVB,178638.0
IMNN,2487271.0
MAPS,94778540.0
XLO,18366638.0
OABI,85991521.0
TELA,31849327.0
MNMD,70203301.0
ABL,31447535.0
CERS,173104011.0
XNCR,66912528.0
FNKO,36832590.0
ATUS,383455929.0
QUIK,14052268.0
MRKR,10386322.0
SNDL,224772402.0
SRTA,45245150.0
WLAC,12650000.0
PGEN,122621816.0
TBI,29115970.0
PLRX,51806691.0
VRAX,3676030.0
BNGO,3351919.0
ORIC,45697627.0
CRVS,57356436.0
CHYM,203779419.0
CDXS,87584659.0
BHVN,88380749.0
ADV,88349890.0
TEAD,24643259.0
BMR,10896971.0
VSTM,55237706.0
DCTH,34028713.0
ZVRA,55656043.0
RLYB,19859438.0
ZETA,195395776.0
CURI,30604799.0
FTRE,83878316.0
NWL,390312928.0
KLTR,89303809.0
ISSC,14696423.0
ELDN,55839718.0
MREO,131273341.0
IRD,27660747.0
CARL,9699190.0
CHPT,21445766.0
KZIA,357553.0
SMXT,28179397.0
GHRS,41938128.0
CMPS,88361609.0
ETS,3834242.0
TAIT,3172981.0
CBIO,4612179.0
TLS,51628589.0
BOF,7656955.0
QTRX,39848704.0
AQST,95779565.0
AAUC,77649198.0
TOI,46195017.0
TIC,103943678.0
IMTX,95213396.0
EMPD,44283178.0
SG,102930662.0
BFRI,8257054.0
MERC,39551156.0
HOUS,101493581.0
WKHS,9429843.0
BCYC,61381368.0
PEW,22016735.0
KLXE,14551336.0
ENGS,2189520.0
RERE,140238092.0
GURE,1010259.0
GCTS,39377881.0
CGEM,36853682.0
SUPV,55140995.0
MAGN,34505335.0
EVH,114239664.0
ENTX,28765647.0
SSYS,51701108.0
TTI,125649688.0
HMY,554258188.0
GNLX,33391393.0
RGNX,41716660.0
DOGZ,5917790.0
TENX,4506075.0
ACRS,92302005.0
CAL,32333495.0
FORR,11348088.0
RZLT,78368119.0
DMRC,16372362.0
AMRN,20683712.0
BZUN,52486583.0
RSI,91700199.0
MGTX,57595100.0
DOUG,70477699.0
VRA,17133374.0
ZVIA,50103341.0
AGEN,31301706.0
ETON,22836549.0
NAGE,52564954.0
GLBS,12838004.0
SVCO,6863986.0
IMPP,20002209.0
CLOV,400031421.0
CRMG,0.0
TNDM,61819985.0
ACHV,41529430.0
NNDM,206522655.0
ALLT,32139320.0
CC,141503815.0
RGP,30289853.0
MGNI,140494002.0
RBNE,1089999.0
MNTN,43334793.0
IMMP,145953821.0
BMRA,2864562.0
IPSC,45209143.0
RMTI,28141993.0
OGN,258733342.0
VOXR,46689928.0
MUD,
CWH,54389172.0
GRND,38396751.0
ALZN,3125732.0
LUMN,944484551.0
OTLY,28276342.0
NXE,538451961.0
RLAY,130150305.0
PLAY,33839004.0
GNSS,38326691.0
GSM,103986083.0
FSM,304209625.0
SMRT,158453257.0
BIOA,24157690.0
XRPNW,
KC,234036344.0
RFL,24078270.0
INCR,35372626.0
IAG,574187829.0
TNON,8209727.0
CCO,349926835.0
XPOF,25199295.0
PACB,298123839.0
BAK,203319879.0
VLN,77777468.0
NEOG,203524066.0
RCUS,61535198.0
BARK,102527857.0
AFCG,16873708.0
RELL,11962540.0
UNIT,235500031.0
PTNM,3053190.0
PACS,43040733.0
MIST,83511404.0
NVAX,136489405.0
DBRG,174913348.0
INMB,20608626.0
HITI,76291993.0
MOGO,19903748.0
CBLL,22097007.0
PHIO,4449962.0
DAWN,78723038.0
BBAR,204005675.0
CRDL,80828223.0
ORMP,32636815.0
TRDA,19080962.0
BLND,221457622.0
TIPT,23197296.0
GERN,534064951.0
VIR,96684443.0
REAL,228140289.0
GECC,7609890.0
INSE,22544847.0
XRX,118192619.0
TLSI,15024517.0
WBTN,15743913.0
DUOT,12876864.0
RMNI,42388972.0
HRTX,151851040.0
OCUL,150272713.0
CERT,120276543.0
OLPX,131700487.0
FUBO,337443867.0
KURA,83749576.0
VTLE,28677795.0
KALV,37874842.0
ALDX,57935995.0
PAYS,34218554.0
KZR,6238103.0
RPAY,65410241.0
LAWR,18050684.0
CRK,78242980.0
MDXH,35018869.0
TZOO,6563194.0
AIOT,124107461.0
AVTR,664019491.0
NUVB,231047778.0
RAIL,23599149.0
WEST,33809644.0
AMBC,43180527.0
IDN,19039615.0
BOOM,17163749.0
WOOF,135819102.0
MH,20477121.0
CEPU,96648414.0
CNVS,16137483.0
NN,62275469.0
ALMS,71049902.0
ELUT,25826268.0
AI,127785290.0
GTEC,9447555.0
CCRN,28494745.0
CINT,125371321.0
BOLD,16461961.0
PAL,20258726.0
OPRA,28075978.0
RKT,507243083.0
HHS,5117028.0
XYF,16817220.0
IBRX,98332987.0
NUTR,3800921.0
JBLU,327561512.0
AURA,45593501.0
MBLY,579264872.0
NRIX,75350268.0
CRMD,69475070.0
MESO,83372409.0
TDUP,96406643.0
HURA,27702975.0
TTEC,20060495.0
RXO,160581061.0
PPSI,8610037.0
NIO,2311770550.0
RSSS,26991302.0
DTIL,10550771.0
EWTX,74603508.0
TMCI,47204855.0
